transaction_id,user_id,created_at,type,status,method,channel,provider,amount,currency,processing_time_min,reject_reason
1,2679,2025-09-24 10:34:38,withdraw,approved,pix,chat,ProviderA,2527.43,BRL,982,
2,4257,2025-10-07 18:40:13,deposit,approved,pix,crm,ProviderB,290.25,BRL,22,
3,7924,2025-11-12 14:28:53,deposit,approved,pix,chat,ProviderB,1155.63,BRL,6,
4,1711,2025-10-08 08:44:59,deposit,approved,pix,email,ProviderB,451.39,BRL,16,
5,4733,2025-11-28 19:21:36,deposit,approved,pix,crm,ProviderA,742.54,BRL,39,
6,6820,2025-12-16 15:03:50,deposit,approved,pix,email,ProviderC,832.53,BRL,9,
7,7216,2025-10-22 19:34:58,deposit,approved,pix,app,ProviderC,679.82,BRL,33,
8,7572,2025-09-30 10:42:31,withdraw,approved,pix,email,ProviderC,729.54,BRL,203,
9,3340,2025-12-25 12:36:18,deposit,approved,bank_transfer,app,ProviderC,496.32,BRL,8,
10,3266,2025-12-11 18:39:54,withdraw,approved,pix,chat,ProviderA,3445.33,BRL,112,
11,7304,2025-10-20 15:35:20,deposit,approved,pix,crm,ProviderC,1118.03,BRL,42,
12,6573,2025-09-21 19:31:27,withdraw,approved,pix,email,ProviderB,2249.93,BRL,393,
13,5889,2025-11-09 17:30:02,withdraw,denied,bank_transfer,crm,ProviderA,4184.53,BRL,463,Documento ilegivel
14,6310,2026-01-02 07:42:26,withdraw,approved,bank_transfer,crm,ProviderB,3951.21,BRL,128,
15,8962,2025-11-05 08:33:42,deposit,approved,bank_transfer,crm,ProviderC,1324.43,BRL,38,
16,4470,2025-12-20 20:59:43,deposit,denied,pix,app,ProviderA,1554.07,BRL,24,Falha no provedor
17,5061,2025-12-01 02:17:04,deposit,approved,pix,crm,ProviderC,550.11,BRL,10,
18,2104,2025-09-20 23:31:50,deposit,approved,pix,chat,ProviderA,135.7,BRL,29,
19,4981,2025-12-22 20:12:51,deposit,approved,pix,app,ProviderA,285.45,BRL,26,
20,2612,2025-12-12 06:51:46,deposit,approved,pix,crm,ProviderA,445.75,BRL,23,
21,8579,2026-01-01 17:17:29,deposit,approved,pix,email,ProviderB,563.74,BRL,33,
22,3724,2026-01-02 13:20:28,deposit,approved,bank_transfer,chat,ProviderB,1216.77,BRL,14,
23,5673,2025-09-20 00:03:49,deposit,approved,pix,app,ProviderC,1765.56,BRL,36,
24,6138,2025-11-16 04:46:39,deposit,approved,pix,crm,ProviderC,289.23,BRL,17,
25,4853,2025-12-27 04:40:16,deposit,approved,pix,crm,ProviderC,144.88,BRL,34,
26,5272,2025-09-27 07:13:42,deposit,approved,pix,email,ProviderA,806.7,BRL,22,
27,1152,2025-11-16 20:06:23,deposit,approved,bank_transfer,crm,ProviderA,575.0,BRL,43,
28,5002,2025-12-26 19:36:44,deposit,approved,bank_transfer,crm,ProviderC,341.98,BRL,6,
29,2697,2025-12-31 07:03:40,deposit,denied,card,email,ProviderA,51.38,BRL,5,KYC pendente
30,9280,2026-01-15 00:43:48,deposit,approved,pix,email,ProviderA,281.51,BRL,32,
31,5291,2025-11-12 07:26:31,withdraw,approved,pix,chat,ProviderC,244.72,BRL,400,
32,9938,2025-10-11 07:23:20,deposit,approved,card,chat,ProviderC,139.97,BRL,11,
33,6862,2025-09-27 16:57:19,deposit,approved,card,crm,ProviderA,391.29,BRL,8,
34,3662,2025-12-07 11:52:29,withdraw,pending,bank_transfer,chat,ProviderB,4213.31,BRL,834,
35,5371,2025-11-23 02:06:55,deposit,approved,pix,chat,ProviderB,1097.71,BRL,22,
36,6000,2025-11-01 18:38:06,withdraw,denied,bank_transfer,email,ProviderA,648.67,BRL,940,Documento ilegivel
37,6753,2025-11-12 16:24:11,deposit,approved,bank_transfer,email,ProviderC,1287.62,BRL,12,
38,1626,2025-10-11 23:33:01,withdraw,approved,pix,email,ProviderC,3294.52,BRL,393,
39,5173,2025-12-27 21:25:23,deposit,approved,card,chat,ProviderC,181.06,BRL,13,
40,3041,2025-10-03 04:07:13,deposit,approved,bank_transfer,email,ProviderB,1562.65,BRL,9,
41,3851,2025-11-15 23:52:19,deposit,approved,pix,app,ProviderC,708.86,BRL,9,
42,8618,2025-10-30 09:32:28,deposit,approved,pix,email,ProviderC,539.55,BRL,21,
43,2530,2025-10-22 12:50:17,withdraw,denied,pix,email,ProviderB,2159.25,BRL,745,Falha no provedor
44,2193,2025-10-18 04:44:17,withdraw,approved,pix,app,ProviderC,187.26,BRL,970,
45,2746,2025-12-03 03:29:17,withdraw,approved,pix,crm,ProviderC,1541.6,BRL,209,
46,8612,2025-11-06 23:22:01,deposit,approved,pix,chat,ProviderC,1444.34,BRL,40,
47,9976,2025-12-14 12:33:37,withdraw,approved,card,app,ProviderB,1973.0,BRL,163,
48,4919,2025-11-06 14:14:22,deposit,approved,pix,app,ProviderB,1225.98,BRL,4,
49,4788,2025-11-20 15:58:24,deposit,approved,pix,chat,ProviderA,1367.38,BRL,6,
50,7883,2025-11-22 20:02:16,deposit,approved,pix,chat,ProviderC,691.88,BRL,24,
51,5892,2026-01-09 08:55:49,withdraw,approved,pix,email,ProviderB,1171.54,BRL,907,
52,7624,2025-11-11 13:59:22,deposit,approved,pix,email,ProviderA,547.19,BRL,28,
53,3223,2026-01-12 12:26:20,withdraw,denied,pix,app,ProviderB,1789.97,BRL,180,Dados divergentes
54,7906,2025-11-22 01:13:50,deposit,approved,card,email,ProviderA,425.66,BRL,4,
55,1508,2025-11-26 12:57:08,withdraw,pending,pix,crm,ProviderA,716.19,BRL,194,
56,8619,2025-12-20 12:58:24,deposit,approved,pix,chat,ProviderA,887.97,BRL,24,
57,6111,2025-10-21 09:13:22,withdraw,approved,pix,crm,ProviderB,4086.47,BRL,1017,
58,2669,2025-10-28 02:18:09,withdraw,approved,card,chat,ProviderC,324.82,BRL,276,
59,7071,2026-01-07 11:27:20,withdraw,approved,pix,app,ProviderA,2732.45,BRL,613,
60,3506,2025-10-10 01:51:56,withdraw,approved,pix,app,ProviderC,1339.4,BRL,721,
61,6280,2026-01-02 02:05:11,deposit,approved,pix,email,ProviderA,1081.79,BRL,27,
62,6511,2025-11-05 22:30:17,withdraw,approved,pix,app,ProviderA,2570.5,BRL,902,
63,1166,2025-11-08 18:01:42,deposit,approved,card,email,ProviderA,429.04,BRL,7,
64,8342,2025-11-05 06:00:34,deposit,approved,pix,app,ProviderA,924.13,BRL,5,
65,7971,2025-11-18 01:02:32,withdraw,pending,pix,email,ProviderB,2180.6,BRL,506,
66,2958,2025-11-07 09:38:41,deposit,approved,card,email,ProviderC,303.32,BRL,35,
67,2647,2025-12-22 14:32:52,deposit,approved,pix,email,ProviderB,354.78,BRL,9,
68,5786,2026-01-01 07:16:07,deposit,approved,pix,crm,ProviderB,192.34,BRL,5,
69,4020,2026-01-09 01:21:07,withdraw,pending,pix,email,ProviderB,885.52,BRL,236,
70,3485,2025-12-06 09:27:03,withdraw,approved,pix,crm,ProviderB,1532.62,BRL,519,
71,9561,2025-10-12 14:02:35,withdraw,approved,pix,chat,ProviderB,1766.77,BRL,1018,
72,4457,2025-10-01 06:42:44,deposit,approved,card,chat,ProviderA,791.51,BRL,4,
73,5771,2025-10-19 23:30:49,deposit,approved,pix,app,ProviderB,34.2,BRL,9,
74,7965,2025-11-03 21:51:09,deposit,approved,card,chat,ProviderA,1466.46,BRL,8,
75,8195,2025-10-03 10:48:46,withdraw,approved,bank_transfer,email,ProviderC,283.62,BRL,663,
76,8078,2025-12-25 18:23:17,withdraw,approved,pix,crm,ProviderA,1701.25,BRL,563,
77,1659,2026-01-09 06:38:27,deposit,approved,pix,email,ProviderC,757.16,BRL,6,
78,2494,2025-10-24 19:49:10,withdraw,approved,pix,app,ProviderB,4731.2,BRL,369,
79,1601,2025-11-22 15:00:55,withdraw,approved,pix,app,ProviderB,1269.38,BRL,287,
80,9889,2025-12-07 01:36:40,withdraw,approved,bank_transfer,crm,ProviderC,3212.39,BRL,86,
81,5375,2025-12-25 09:09:54,withdraw,approved,bank_transfer,chat,ProviderB,2023.26,BRL,1065,
82,1224,2026-01-15 19:33:59,deposit,approved,pix,email,ProviderA,1133.51,BRL,5,
83,7807,2025-10-19 11:34:34,withdraw,denied,card,email,ProviderB,1555.3,BRL,1244,Documento ilegivel
84,5526,2026-01-13 23:19:15,deposit,approved,card,crm,ProviderB,643.62,BRL,28,
85,3434,2025-11-13 12:08:38,withdraw,approved,bank_transfer,app,ProviderB,2454.36,BRL,440,
86,7274,2025-11-21 01:36:36,deposit,approved,crypto,chat,ProviderA,1301.54,BRL,25,
87,9115,2025-12-02 14:41:05,withdraw,pending,pix,chat,ProviderC,1189.19,BRL,138,
88,3361,2025-12-14 01:59:40,withdraw,approved,bank_transfer,crm,ProviderA,385.21,BRL,622,
89,6383,2025-11-10 01:06:52,deposit,approved,pix,crm,ProviderB,426.92,BRL,29,
90,4846,2025-12-23 08:01:08,withdraw,approved,pix,crm,ProviderA,3262.54,BRL,1048,
91,8269,2025-10-08 16:47:49,deposit,approved,pix,crm,ProviderA,1053.16,BRL,9,
92,5000,2025-09-30 11:33:12,deposit,approved,pix,chat,ProviderA,374.07,BRL,17,
93,9153,2026-01-15 22:27:23,deposit,approved,pix,chat,ProviderB,1304.86,BRL,6,
94,9955,2025-09-21 09:48:50,deposit,approved,pix,email,ProviderB,1385.02,BRL,13,
95,4263,2025-12-10 23:26:30,withdraw,pending,pix,email,ProviderA,2293.41,BRL,906,
96,1359,2025-11-28 06:53:23,deposit,pending,crypto,email,ProviderB,738.77,BRL,20,
97,4770,2025-09-29 02:34:53,deposit,approved,card,email,ProviderC,1421.73,BRL,11,
98,6061,2025-10-16 03:27:22,withdraw,denied,bank_transfer,crm,ProviderC,2034.57,BRL,68,Dados divergentes
99,3165,2025-11-15 21:19:59,deposit,approved,pix,chat,ProviderB,412.9,BRL,30,
100,6549,2025-11-08 11:35:10,withdraw,denied,bank_transfer,email,ProviderA,3574.11,BRL,425,KYC pendente
101,2479,2025-12-05 18:05:26,withdraw,denied,bank_transfer,email,ProviderA,4120.09,BRL,46,Limite excedido
102,2775,2025-11-09 11:46:46,deposit,approved,card,email,ProviderC,753.31,BRL,14,
103,5951,2025-11-01 13:39:53,withdraw,approved,pix,app,ProviderA,2113.0,BRL,131,
104,7367,2025-12-24 05:48:57,deposit,approved,pix,chat,ProviderC,181.55,BRL,20,
105,7686,2025-10-19 14:08:52,deposit,denied,pix,app,ProviderB,1345.26,BRL,9,Falha no provedor
106,9920,2025-11-04 10:23:00,deposit,approved,pix,email,ProviderA,1264.62,BRL,19,
107,4475,2025-10-13 07:19:27,deposit,approved,card,crm,ProviderA,1563.24,BRL,18,
108,2124,2025-11-05 21:07:55,withdraw,denied,bank_transfer,chat,ProviderA,4485.76,BRL,510,Limite excedido
109,3370,2025-10-18 05:40:16,deposit,pending,pix,email,ProviderA,1110.77,BRL,16,
110,6304,2025-09-24 14:09:47,withdraw,approved,pix,chat,ProviderA,468.2,BRL,247,
111,8405,2025-10-01 22:13:14,deposit,approved,card,crm,ProviderA,600.19,BRL,35,
112,7984,2025-09-25 15:11:29,deposit,approved,pix,app,ProviderB,125.53,BRL,15,
113,9984,2025-11-21 03:10:07,withdraw,approved,pix,email,ProviderC,1956.03,BRL,344,
114,4522,2026-01-15 03:30:44,deposit,approved,card,crm,ProviderB,539.95,BRL,30,
115,6120,2025-12-06 00:14:10,withdraw,approved,pix,app,ProviderA,1283.18,BRL,339,
116,3131,2025-10-06 03:50:44,deposit,approved,pix,email,ProviderC,158.15,BRL,18,
117,1842,2025-12-08 08:31:33,withdraw,pending,pix,app,ProviderB,1089.68,BRL,560,
118,6736,2025-10-30 21:27:12,deposit,approved,pix,crm,ProviderB,221.71,BRL,11,
119,5381,2026-01-06 12:18:30,withdraw,approved,bank_transfer,crm,ProviderB,4224.05,BRL,253,
120,2140,2025-10-24 19:25:48,deposit,approved,pix,app,ProviderA,1302.24,BRL,19,
121,7062,2025-10-31 08:36:38,withdraw,approved,pix,chat,ProviderC,1158.63,BRL,295,
122,5458,2025-10-19 19:04:25,withdraw,approved,pix,crm,ProviderC,535.53,BRL,383,
123,2816,2025-10-31 10:38:35,deposit,approved,pix,app,ProviderB,1042.5,BRL,21,
124,5938,2025-12-05 08:04:47,deposit,denied,pix,chat,ProviderB,1758.77,BRL,24,Conta bancaria invalida
125,7229,2025-09-21 02:02:34,deposit,approved,pix,chat,ProviderC,628.73,BRL,8,
126,6129,2025-09-27 19:09:42,deposit,approved,pix,crm,ProviderC,547.69,BRL,17,
127,6928,2025-12-07 05:36:22,deposit,approved,pix,app,ProviderA,77.57,BRL,28,
128,4630,2025-12-30 07:51:40,deposit,approved,card,email,ProviderC,143.4,BRL,6,
129,4871,2025-10-27 05:40:32,deposit,approved,pix,chat,ProviderA,1406.74,BRL,8,
130,8601,2025-10-04 05:11:26,withdraw,approved,bank_transfer,app,ProviderB,588.13,BRL,757,
131,5961,2025-11-19 23:19:58,withdraw,denied,pix,app,ProviderC,518.47,BRL,550,Dados divergentes
132,2257,2025-12-16 08:05:24,deposit,approved,pix,email,ProviderA,100.73,BRL,38,
133,8368,2026-01-05 05:19:13,deposit,approved,card,crm,ProviderA,1586.2,BRL,17,
134,6626,2025-12-25 22:33:35,deposit,pending,pix,crm,ProviderC,217.64,BRL,4,
135,6962,2025-12-13 14:07:13,deposit,approved,pix,chat,ProviderB,1816.36,BRL,9,
136,6401,2025-09-29 18:03:35,withdraw,approved,pix,crm,ProviderB,2767.1,BRL,650,
137,6731,2026-01-14 14:48:29,withdraw,approved,pix,chat,ProviderC,3268.65,BRL,623,
138,3093,2025-10-06 00:50:17,deposit,approved,pix,email,ProviderC,392.83,BRL,27,
139,3953,2025-12-10 19:14:08,withdraw,pending,pix,email,ProviderB,1590.2,BRL,310,
140,9317,2025-10-16 07:07:11,deposit,approved,pix,crm,ProviderC,221.93,BRL,27,
141,3712,2025-10-15 00:45:06,withdraw,approved,pix,chat,ProviderB,1913.39,BRL,78,
142,4833,2026-01-16 03:35:59,withdraw,approved,bank_transfer,app,ProviderB,887.21,BRL,283,
